Age,Gender,Ethnicity,Ethnicity_Elab,EnglishNativeLang,BPNSF_AS1,BPNSF_AF1,BPNSF_RS1,BPNSF_RF1,BPNSF_CS1,BPNSF_CF1,BPNSF_AS2,BPNSF_AF2,BPNSF_RS2,BPNSF_RF2,BPNSF_CS2,BPNSF_CF2,BPNSF_AS3,BPNSF_AF3,BPNSF_RS3,BPNSF_RF3,BPNSF_CS3,BPNSF_CF3,BPNSF_AS4,BPNSF_AF4,BPNSF_RS4,BPNSF_RF4,BPNSF_CS4,BPNSF_CF4,VG_Frequency,VG_YearsPlaying,VG_SessionLength,WeekdayPlaytime_1,WeekdayPlaytime_2,WeekdayPlaytime_3,WeekdayPlaytime_4,WeekendPlaytime_1,WeekendPlaytime_2,WeekendPlaytime_3,WeekendPlaytime_4,GAMS_Intrinsic1,GAMS_Intrinsic2,GAMS_Intrinsic3,GAMS_Integrated1,GAMS_Integrated2,GAMS_Integrated3,GAMS_Identified1,GAMS_Identified2,GAMS_Identified3,GAMS_Introjected1,GAMS_Introjected2,GAMS_Introjected3,GAMS_External1,GAMS_External2,GAMS_External3,GAMS_Amotivation1,GAMS_Amotivation2,GAMS_Amotivation3,GAMS_AttCheck,IGD_1,IGD_2,IGD_3,IGD_4,IGD_5,IGD_6,IGD_7,IGD_8,IGD_9,IGD_10,IGD_11,IGD_12,IGD_13,IGD_14,IGD_15,IGD_16,IGD_17,IGD_18,IGD_19,IGD_20,IGD_21,IGD_22,IGD_23,IGD_24,IGD_25,IGD_26,IGD_27,SCS_1,SCS_2,SCS_3,SCS_4,SCS_5,SCS_6,SCS_7,SCS_8,SCS_9,SCS_10,SCS_11,SCS_12,SCS_13,SCS_14,SCS_15,SCS_16,SCS_17,SCS_18,SCS_19,SCS_20,SCS_21,SCS_22,SCS_23,SCS_24,SCS_25,SCS_26,SCS_27,SCS_28,SCS_29,SCS_30,SCS_31,SCS_32,SCS_33,SCS_34,SCS_35,SCS_36,SCS_AttCheck,AC1_Fail,AC2_Fail,AC3_Fail,Failed_ACs,CompSat,AutoSat,RelSat,CompFrust,AutoFrust,RelFrust,NeedSat,NeedFrust,AvgWeekdayPlaytime,AvgWeekendPlaytime,AvgWeeklyPlaytime,Intrinsic,Integrated,Identified,Introjected,External,Amotivation,IGD,SelfControl,AvgWeeklyPlaytime_Wins,SC_P1,SC_P2,SC_P3,IGD_P1,IGD_P2,IGD_P3,Male
21,Male,White,NA,Yes,3,3,3,3,3,3,3,3,4,1,4,2,3,3,4,1,3,3,3,3,4,3,3,3,Almost every day,12,60,0,2,2,0,1,3,3,0,4,5,4,4,4,4,5,5,4,4,4,1,4,4,4,2,1,1,5,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,2,3,3,2,2,2,4,3,3,2,2,2,3,2,2,2,2,5,1,3,1,3,2,2,2,3,4,2,1,4,1,3,2,1,1,3,2,0,0,0,0,3.25,3,3.75,2.75,3,2,3.333333333,2.583333333,4,7,34,4.333333333,4,4.666666667,3,4,1.333333333,0.296296296,3.694444444,34,3.666666667,3.916666667,3.5,0.1,0.333333333,0.5,1
21,Female,Asian/Pacific Islander,NA,No,3,2,4,3,5,4,5,5,4,4,4,4,5,5,4,5,3,4,4,3,5,4,5,4,About once a week,6,90,1,1,2,0,1,1,2,0,6,5,5,6,5,5,6,5,6,5,5,5,6,6,5,5,5,5,6,4,4,4,4,3,2,4,3,4,5,5,4,4,4,5,4,4,5,4,5,4,3,5,4,4,3,4,3,2,1,4,2,4,4,2,1,2,3,2,2,2,4,2,3,3,3,2,2,4,1,4,3,4,3,4,3,4,4,1,4,2,4,5,2,0,1,0,1,4.25,4.25,4.25,4,3.75,4,4.25,3.916666667,4,4,28,5.333333333,5.333333333,5.666666667,5,5.666666667,5,3,3.472222222,28,3.416666667,3.333333333,3.666666667,3.1,3,2.875,0
20,Female,White,NA,Yes,4,4,5,2,4,3,4,4,4,2,4,4,5,4,5,2,4,1,4,3,5,2,4,2,About once a week,10,120,0,1,1,0,1,2,2,0,5,6,5,2,2,2,2,2,6,2,2,2,2,6,2,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,1,3,1,1,1,1,1,1,1,1,1,1,4,2,2,2,1,2,4,3,4,3,2,1,2,4,3,3,2,5,4,4,2,3,5,2,3,4,2,3,3,3,1,3,2,1,4,4,2,0,0,0,0,4,4.25,4.75,2.5,3.75,2,4.333333333,2.75,2,5,20,5.333333333,2,3.333333333,2,3.333333333,2,0.37037037,3.222222222,20,2.916666667,3.333333333,3.416666667,0.3,0.444444444,0.375,0
19,Female,White,NA,Yes,1,5,2,5,5,5,1,5,2,5,5,5,1,5,2,5,5,1,1,5,1,5,5,4,Almost every day,16,120,0,0,1,1,0,0,4,2,7,7,6,5,4,1,7,2,6,1,5,6,7,7,7,5,1,2,5,2,5,5,1,5,1,1,4,1,1,1,1,6,6,6,1,6,5,1,1,1,1,1,1,1,6,5,1,5,1,5,5,5,2,4,1,5,5,5,2,5,1,3,5,4,2,5,1,1,5,5,5,3,1,4,5,1,4,5,5,5,4,2,2,0,0,0,0,5,1,1.75,3.75,5,5,2.583333333,4.583333333,2,6,22,6.666666667,3.333333333,5,4,7,2.666666667,1.814814815,2.027777778,22,2.25,2.416666667,1.416666667,0.9,2,2.75,0
19,Female,White,NA,Yes,4,3,4,2,5,1,4,2,4,1,5,1,4,2,4,1,4,2,3,3,4,2,5,2,Less than once a month,5,20,0,0,0,0,0,0,1,0,4,4,2,1,1,1,1,1,1,1,1,1,1,2,1,5,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,1,1,2,4,4,1,3,2,1,5,4,5,3,3,5,3,3,2,3,3,3,2,4,2,4,3,4,1,2,1,1,1,4,2,0,0,0,0,4.75,3.75,4,1.5,2.5,1.5,4.166666667,1.833333333,0,1,2,3.333333333,1,1,1,1.333333333,4.333333333,0,3.694444444,2,3.666666667,3.416666667,4,0,0,0,0
24,Male,Asian/Pacific Islander,NA,No,5,2,2,3,3,2,2,2,5,3,3,2,5,3,3,2,5,2,2,2,5,2,5,2,Almost every day,1,1,0,0,0,1,0,0,0,1,2,7,2,7,5,5,2,2,5,2,7,5,7,7,5,2,2,5,5,3,3,4,4,4,3,3,4,4,3,3,4,3,4,4,4,4,4,3,3,3,4,3,4,4,4,3,3,4,2,2,2,3,4,3,3,3,4,4,2,3,3,3,4,3,4,4,3,4,3,3,3,3,4,2,4,2,3,2,2,4,3,3,2,0,0,0,0,4,3.5,3.75,2,2.25,2.5,3.75,2.25,1,1,7,3.666666667,5.666666667,3,4.666666667,6.333333333,3,2.555555556,2.916666667,7,2.833333333,3,2.916666667,2.7,2.333333333,2.625,1
18,Female,White,NA,Yes,5,3,5,3,3,5,3,3,5,3,3,3,5,3,3,3,3,5,4,3,5,2,2,3,A couple of times a month,14,120,0,0,2,2,3,3,3,3,7,7,4,5,4,3,5,4,7,1,1,1,7,7,7,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,3,1,1,1,1,1,1,1,1,1,1,3,3,5,2,4,2,5,3,5,3,5,5,5,1,3,5,2,5,5,3,1,2,5,4,5,2,4,2,4,3,5,5,5,2,1,5,2,0,0,0,0,2.75,4.25,4.5,4,3,2.75,3.833333333,3.25,4,12,44,6,4,5.333333333,1,7,1,0.37037037,2.916666667,43.7,2.75,3.166666667,2.833333333,0.3,0.555555556,0.25,0
18,Female,White,NA,Yes,5,4,5,1,4,2,4,3,5,1,4,2,4,1,5,1,5,2,4,3,5,1,4,3,About 2 or 3 times a week,8,90,0,1,1,0,0,0,2,0,5,6,5,1,1,1,1,1,2,1,1,1,5,4,4,1,1,1,5,1,2,1,3,2,3,1,1,1,1,1,1,4,3,2,1,1,1,1,1,1,1,1,2,1,1,1,4,2,4,2,4,3,5,5,4,3,2,3,4,4,4,3,3,4,2,5,2,3,4,4,4,3,4,3,3,5,1,2,2,3,1,4,2,0,0,0,0,4.25,4.25,5,2.25,2.75,1,4.5,2,2,2,14,5.333333333,1,1.333333333,1,4.333333333,1,0.481481481,3.388888889,14,3.25,3.333333333,3.583333333,0.4,0.444444444,0.625,0
18,Female,White,NA,Yes,3,2,4,1,3,2,2,2,5,2,4,3,3,2,3,1,3,3,4,2,4,3,4,1,About once a week,8,90,0,0,2,2,0,0,1,3,7,7,5,6,4,3,3,3,6,1,4,2,4,4,6,3,4,3,5,3,4,4,4,3,3,4,3,4,5,5,3,4,3,4,4,4,3,4,3,2,5,3,2,3,2,2,3,3,3,3,4,3,3,4,3,3,4,3,3,3,4,3,3,4,3,3,2,3,3,3,2,3,3,3,3,3,4,3,2,3,2,3,2,0,0,0,0,3.5,3,4,2.25,2,1.75,3.5,2,4,4,28,6.333333333,4.333333333,4,2.333333333,4.666666667,3.333333333,2.444444444,3.111111111,28,3,3,3.333333333,2.5,2.444444444,2.375,0
22,Male,White,NA,Yes,3,2,5,1,3,2,4,1,4,1,4,3,4,1,3,2,4,2,4,2,4,2,4,3,Almost every day,10,60,0,2,2,0,0,4,2,0,6,5,3,2,2,2,2,4,3,2,1,1,2,3,2,2,3,1,5,3,1,5,1,1,2,2,1,2,1,1,1,4,4,3,1,1,2,3,2,1,1,2,1,2,1,1,5,3,3,4,5,3,4,3,1,4,1,2,5,1,3,2,3,4,2,3,1,3,3,4,3,4,3,2,2,3,1,2,4,2,1,4,2,0,0,0,0,3.75,3.75,4,2.5,1.5,1.5,3.833333333,1.833333333,4,6,32,4.666666667,2,3,1.333333333,2.333333333,2,0.851851852,3.75,32,4.333333333,3.5,3.416666667,0.9,0.777777778,0.875,1
